views,favorite,post_info,price,car_name,year,A_C,emission_class,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
104,1,posted today,800,Opel Meriva,2004,no A/C,Euro 3,5,105 HP (77 kW),gray,300000,1600,front,4/5 doors,petrol + gas,minivan (MPV),"manual, 5 speeds"
46,1,posted 4 days ago,1800,Opel Meriva,2004,manual A/C,Euro 3,5,75 HP (55 kW),black,240000,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
111,5,posted 2 weeks ago,2300,Opel Meriva,2004,no A/C,,5,101 HP (74 kW),gray,127034,1599,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
121,5,posted 2 weeks ago,1550,Opel Meriva,2004,manual A/C,Euro 3,5,101 HP (74 kW),gray,266000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
77,0,posted 3 weeks ago,2300,Opel Meriva,2004,manual A/C,,5,101 HP (74 kW),gray,731215,1598,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
29,0,posted 2 weeks ago,2900,Opel Meriva,2004,manual A/C,,5,75 HP (55 kW),gray,185000,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
68,0,posted 3 weeks ago,2500,Opel Meriva,2004,manual A/C,Euro 4,5,87 HP (64 kW),gray,129000,1600,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
57,0,posted a week ago,1900,Opel Meriva,2004,manual A/C,Euro 4,5,75 HP (55 kW),gray,235000,1698,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
443,0,updated a week ago,2600,Opel Meriva,2004,no A/C,,5,109 HP (80 kW),gray,160000,1400,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
368,5,posted a week ago,850,Opel Meriva,2004,automatic A/C,Euro 3,5,122 HP (90 kW),gray,240000,1700,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
49,1,posted 5 days ago,2200,Opel Meriva,2003,automatic A/C,Euro 3,5,75 HP (55 kW),gray,202331,1686,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
